County,SEX350209D
"McCreary, KY",102.2
"McLean, KY",96.2
"Madison, KY",93.8
"Magoffin, KY",98.1
"Marion, KY",103.6
"Marshall, KY",96.9
"Martin, KY",121.1
"Mason, KY",94
"Meade, KY",98.4
"Menifee, KY",98.1
"Mercer, KY",95.9
"Metcalfe, KY",95.6
"Monroe, KY",96.6
"Montgomery, KY",95.3
"Morgan, KY",127.2
"Muhlenberg, KY",99.8
"Nelson, KY",97.7
"Nicholas, KY",95.9
"Ohio, KY",98
"Oldham, KY",114.4
"Owen, KY",99.2
"Owsley, KY",98.3
"Pendleton, KY",101.1
"Perry, KY",95.3
"Pike, KY",95
"Powell, KY",97.9
"Pulaski, KY",94.8
"Robertson, KY",99.2
"Rockcastle, KY",96.4
"Rowan, KY",95.3
"Russell, KY",93.8
"Scott, KY",96.2
"Shelby, KY",99.5
"Simpson, KY",95.7
"Spencer, KY",101.7
"Taylor, KY",93.4
"Todd, KY",96.8
"Trigg, KY",95.8
"Trimble, KY",97.5
"Union, KY",103.3
"Warren, KY",96.3
"Washington, KY",98.4
"Wayne, KY",97.4
"Webster, KY",96.9
"Whitley, KY",93.7
"Wolfe, KY",95.3
"Woodford, KY",96.1
LOUISIANA,94.7
"Acadia, LA",94.8
"Allen, LA",127.1
"Ascension, LA",98.4
"Assumption, LA",94.9
"Avoyelles, LA",96.8
"Beauregard, LA",101.3
"Bienville, LA",92.1
"Bossier, LA",96.3
"Caddo, LA",90.6
"Calcasieu, LA",95.3
"Caldwell, LA",103.6
"Cameron, LA",108.4
"Catahoula, LA",102.2
"Claiborne, LA",108.8
"Concordia, LA",96.2
"De Soto, LA",92.4
"East Baton Rouge, LA",92.9
"East Carroll, LA",108
"East Feliciana, LA",115.4
"Evangeline, LA",100
"Franklin, LA",92.5
"Grant, LA",96.7
"Iberia, LA",93.5
"Iberville, LA",100.9
"Jackson, LA",93.3
"Jefferson, LA",92.9
"Jefferson Davis, LA",93.8
"Lafayette, LA",94.8
"Lafourche, LA",95.3
"La Salle, LA",103.7
"Lincoln, LA",96.1
"Livingston, LA",98.3
"Madison, LA",96.8
"Morehouse, LA",91.9
"Natchitoches, LA",91.9
"Orleans, LA",88.9
"Ouachita, LA",90.6
"Plaquemines, LA",100.9
"Pointe Coupee, LA",95.1
"Rapides, LA",93.4
"Red River, LA",91.3
"Richland, LA",89.4
"Sabine, LA",96.6
"St. Bernard, LA",95
"St. Charles, LA",96.1
"St. Helena, LA",93.2
"St. James, LA",93.6
"St. John the Baptist, LA",94.8
"St. Landry, LA",92.9
"St. Martin, LA",96.7
"St. Mary, LA",95.4
"St. Tammany, LA",96.2
"Tangipahoa, LA",93.6
"Tensas, LA",101.6
"Terrebonne, LA",97.1
"Union, LA",94.1
"Vermilion, LA",95.2
"Vernon, LA",103.1
"Washington, LA",95.5
"Webster, LA",93.6
"West Baton Rouge, LA",97.3
"West Carroll, LA",104.6
"West Feliciana, LA",193.4
"Winn, LA",113.3
MAINE,95.4
"Androscoggin, ME",95.4
"Aroostook, ME",95.5
"Cumberland, ME",95
"Franklin, ME",93.8
"Hancock, ME",96.5
"Kennebec, ME",94.9
"Knox, ME",97.8
"Lincoln, ME",95.5
"Oxford, ME",95.4
"Penobscot, ME",95.7
"Piscataquis, ME",97.4
"Sagadahoc, ME",96.1
"Somerset, ME",96.1
"Waldo, ME",96.2
"Washington, ME",94.7
"York, ME",94.9
MARYLAND,94.1
"Allegany, MD",103
"Anne Arundel, MD",98.6
"Baltimore, MD",90.7
"Calvert, MD",97.3
"Caroline, MD",96.2
"Carroll, MD",98
"Cecil, MD",98
"Charles, MD",94.8
"Dorchester, MD",89.8
"Frederick, MD",97.7
"Garrett, MD",97.6
"Harford, MD",95.9
"Howard, MD",97.1
"Kent, MD",90.7
"Montgomery, MD",94.1
"Prince George's, MD",93.1
"Queen Anne's, MD",98.4
"St. Mary's, MD",99
"Somerset, MD",115.5
"Talbot, MD",91.4
"Washington, MD",103.2
"Wicomico, MD",91.4
"Worcester, MD",93.9
"Baltimore city, MD",87.2
MASSACHUSETTS,94.6
"Barnstable, MA",89.8
"Berkshire, MA",93.4
"Bristol, MA",93.8
"Dukes, MA",96.6
"Essex, MA",94.2
"Franklin, MA",96.2
"Hampden, MA",93.5
"Hampshire, MA",88.8
"Middlesex, MA",95.7
"Nantucket, MA",105.5
"Norfolk, MA",93.2
"Plymouth, MA",96.4
"Suffolk, MA",93.6
"Worcester, MA",97.3
MICHIGAN,96.8
"Alcona, MI",101.6
"Alger, MI",111.2
"Allegan, MI",100.2
"Alpena, MI",95
"Antrim, MI",99.6
"Arenac, MI",104.8
"Baraga, MI",118.4
"Barry, MI",100
"Bay, MI",94.7
"Benzie, MI",98.4
"Berrien, MI",94.4
"Branch, MI",104.2
"Calhoun, MI",94.9
"Cass, MI",99.7
"Charlevoix, MI",96.9
"Cheboygan, MI",98.1
"Chippewa, MI",129
"Clare, MI",95.9
"Clinton, MI",99.4
"Crawford, MI",107.2
"Delta, MI",97.2
"Dickinson, MI",97.1
"Eaton, MI",95.3
"Emmet, MI",97.5
"Genesee, MI",92.7
"Gladwin, MI",97.5
"Gogebic, MI",111.8
"Grand Traverse, MI",97.6
"Gratiot, MI",112.4
"Hillsdale, MI",99.4
"Houghton, MI",117.3
"Huron, MI",98.7
"Ingham, MI",93.6
"Ionia, MI",115.9
"Iosco, MI",95.2
"Iron, MI",100.3
"Isabella, MI",89.9
"Jackson, MI",103.9
"Kalamazoo, MI",94
"Kalkaska, MI",100.3
"Kent, MI",97.7
"Keweenaw, MI",110.5
"Lake, MI",101.4
"Lapeer, MI",104
"Leelanau, MI",100.7
"Lenawee, MI",100.8
"Livingston, MI",102.4
"Luce, MI",130.9
"Mackinac, MI",99
"Macomb, MI",96.4
"Manistee, MI",106.4
"Marquette, MI",100.8
"Mason, MI",96.1
"Mecosta, MI",102
"Menominee, MI",98.6
"Midland, MI",96.8
"Missaukee, MI",100.4
"Monroe, MI",98.8
"Montcalm, MI",106.3
"Montmorency, MI",96.3
"Muskegon, MI",99.3
"Newaygo, MI",99.5
"Oakland, MI",96.5
"Oceana, MI",101.9
"Ogemaw, MI",98.4
"Ontonagon, MI",102.7
"Osceola, MI",97.1
"Oscoda, MI",94.9
"Otsego, MI",97.9
"Ottawa, MI",96.9
"Presque Isle, MI",98.9
"Roscommon, MI",96.1
"Saginaw, MI",92.8
"St. Clair, MI",97.9
"St. Joseph, MI",98.5
"Sanilac, MI",99.5
"Schoolcraft, MI",96.7
"Shiawassee, MI",97.7
"Tuscola, MI",99.6
"Van Buren, MI",98.8
"Washtenaw, MI",99.2
"Wayne, MI",92.7
"Wexford, MI",98.3
MINNESOTA,99.1
"Aitkin, MN",101.9
"Anoka, MN",102.1
"Becker, MN",100.1
"Beltrami, MN",96.4
"Benton, MN",98.7
"Big Stone, MN",93.8
"Blue Earth, MN",100.2
"Brown, MN",100.3
"Carlton, MN",103.3
"Carver, MN",101.7
"Cass, MN",100.4
"Chippewa, MN",97.7
"Chisago, MN",107.1
"Clay, MN",94.4
"Clearwater, MN",100.1
"Cook, MN",100.7
"Cottonwood, MN",98.1
"Crow Wing, MN",97.1
"Dakota, MN",98.4
"Dodge, MN",99.5
"Douglas, MN",99.6
"Faribault, MN",100.4
"Fillmore, MN",99.4
"Freeborn, MN",98
"Goodhue, MN",99.5
"Grant, MN",97.3
"Hennepin, MN",98.1
"Houston, MN",98.2
"Hubbard, MN",99.9
"Isanti, MN",101.3
"Itasca, MN",100.3
"Jackson, MN",102.1
"Kanabec, MN",102.8
"Kandiyohi, MN",98.7
"Kittson, MN",94.3
"Koochiching, MN",98.1
"Lac qui Parle, MN",98.4
"Lake, MN",99.1
"Lake of the Woods, MN",98.5
"Le Sueur, MN",101.6
"Lincoln, MN",97.4
"Lyon, MN",98
"McLeod, MN",99.3
"Mahnomen, MN",102.7
"Marshall, MN",102.8
"Martin, MN",97
"Meeker, MN",103
"Mille Lacs, MN",98.1
"Morrison, MN",101.6
"Mower, MN",99.9
"Murray, MN",98.8
"Nicollet, MN",101.1
"Nobles, MN",104
"Norman, MN",98.8
"Olmsted, MN",97.6
"Otter Tail, MN",99.9
"Pennington, MN",97.4
"Pine, MN",111.3
"Pipestone, MN",93.5
"Polk, MN",99.1
"Pope, MN",99.1
"Ramsey, MN",93.1
"Red Lake, MN",100.8
"Redwood, MN",102
"Renville, MN",102.7
"Rice, MN",102.7
"Rock, MN",97.5
"Roseau, MN",105
"St. Louis, MN",98
"Scott, MN",101.6
"Sherburne, MN",104.8
"Sibley, MN",102.3
"Stearns, MN",100.9
"Steele, MN",98.8
"Stevens, MN",95.1
"Swift, MN",133.9
"Todd, MN",104.3
"Traverse, MN",97.2
"Wabasha, MN",101.2
"Wadena, MN",97.6
"Waseca, MN",104.5
"Washington, MN",100.1
"Watonwan, MN",96.3
"Wilkin, MN",99.2
"Winona, MN",96.4
"Wright, MN",102.4
"Yellow Medicine, MN",100.3
MISSISSIPPI,94.1
"Adams, MS",85.4
"Alcorn, MS",95
"Amite, MS",92.4
"Attala, MS",89
"Benton, MS",93.5
"Bolivar, MS",88.5
"Calhoun, MS",94.1
"Carroll, MS",99.9
"Chickasaw, MS",94.8
"Choctaw, MS",93.9
"Claiborne, MS",86.5
"Clarke, MS",92.4
"Clay, MS",88.6
"Coahoma, MS",85.4
"Copiah, MS",92.7
"Covington, MS",90.8
"DeSoto, MS",98.2
"Forrest, MS",90.3
"Franklin, MS",91
"George, MS",102.2
"Greene, MS",150.9
"Grenada, MS",88.5
"Hancock, MS",98
"Harrison, MS",96.5
"Hinds, MS",89.5
"Holmes, MS",89.9
"Humphreys, MS",89
"Issaquena, MS",129.6
"Itawamba, MS",95.6
"Jackson, MS",96.9
"Jasper, MS",91.9
"Jefferson, MS",102.4
"Jefferson Davis, MS",90.2
"Jones, MS",97.4
"Kemper, MS",98
"Lafayette, MS",95.2
"Lamar, MS",94.6
"Lauderdale, MS",93.3
"Lawrence, MS",93.1
"Leake, MS",100.8
"Lee, MS",93.2
"Leflore, MS",93.2
"Lincoln, MS",93.1
"Lowndes, MS",88.5
"Madison, MS",90.6
"Marion, MS",94.1
"Marshall, MS",97.1
"Monroe, MS",90
"Montgomery, MS",89.1
"Neshoba, MS",92.3
"Newton, MS",91.8
"Noxubee, MS",92.4
"Oktibbeha, MS",100.5
"Panola, MS",92.7
"Pearl River, MS",94.7
"Perry, MS",95
"Pike, MS",88.8
"Pontotoc, MS",96.2
"Prentiss, MS",93.9
"Quitman, MS",89.2
"Rankin, MS",96.1
"Scott, MS",99.9
"Sharkey, MS",90.8
"Simpson, MS",95.9
"Smith, MS",94.8
"Stone, MS",100.3
"Sunflower, MS",113.8
"Tallahatchie, MS",86.4
"Tate, MS",95.2
"Tippah, MS",95.1
"Tishomingo, MS",92.4
"Tunica, MS",89.3
"Union, MS",94.7
"Walthall, MS",92.1
"Warren, MS",88.9
"Washington, MS",87.5
"Wayne, MS",90.7
"Webster, MS",95
"Wilkinson, MS",111.7
"Winston, MS",94.9
"Yalobusha, MS",90.8
"Yazoo, MS",115.6
MISSOURI,95.6
"Adair, MO",89.2
"Andrew, MO",96.3
"Atchison, MO",100.3
"Audrain, MO",81.9
"Barry, MO",98.8
"Barton, MO",98.3
"Bates, MO",94.8
"Benton, MO",97
"Bollinger, MO",96.5
"Boone, MO",93.4
"Buchanan, MO",97.9
"Butler, MO",92.1
"Caldwell, MO",99.1
"Callaway, MO",105.9
"Camden, MO",98.1
"Cape Girardeau, MO",93.6
"Carroll, MO",95.9
"Carter, MO",96.6
"Cass, MO",97.1
"Cedar, MO",95.8
"Chariton, MO",94.2
"Christian, MO",96.1
"Clark, MO",98.1
"Clay, MO",95.5
"Clinton, MO",95.5
"Cole, MO",102.8
"Cooper, MO",116.1
"Crawford, MO",98.1
"Dade, MO",99.6
"Dallas, MO",99.3
"Daviess, MO",94.7
"DeKalb, MO",169.6
"Dent, MO",95.8
"Douglas, MO",98.4
"Dunklin, MO",90.9
"Franklin, MO",98.8
"Gasconade, MO",96
"Gentry, MO",98.4
"Greene, MO",94.3
"Grundy, MO",92.2
"Harrison, MO",95.6
"Henry, MO",96.4
"Hickory, MO",92.7
"Holt, MO",101.2
"Howard, MO",94.3
"Howell, MO",93.6
"Iron, MO",94.3
"Jackson, MO",94.1
"Jasper, MO",94.9
"Jefferson, MO",99.1
"Johnson, MO",98.6
"Knox, MO",92.4
"Laclede, MO",97.2
"Lafayette, MO",97.3
"Lawrence, MO",97.6
"Lewis, MO",98.2
"Lincoln, MO",99
"Linn, MO",90.7
"Livingston, MO",85.9
"McDonald, MO",103.4
"Macon, MO",97.3
"Madison, MO",92
"Maries, MO",100.7
"Marion, MO",91.2
"Mercer, MO",97
"Miller, MO",97.6
"Mississippi, MO",95.1
"Moniteau, MO",115.2
"Monroe, MO",97.8
"Montgomery, MO",99
"Morgan, MO",96
"New Madrid, MO",92.9
"Newton, MO",97
"Nodaway, MO",101.1
"Oregon, MO",97.1
"Osage, MO",104.4
"Ozark, MO",96.8
"Pemiscot, MO",88.6
"Perry, MO",100.9
"Pettis, MO",96.8
"Phelps, MO",104.3
"Pike, MO",123.6
"Platte, MO",98
"Polk, MO",94.9
"Pulaski, MO",110
"Putnam, MO",96.5
"Ralls, MO",100.5
"Randolph, MO",107.7
"Ray, MO",101
"Reynolds, MO",102
"Ripley, MO",95.7
"St. Charles, MO",97.2
"St. Clair, MO",99.4
"Ste. Genevieve, MO",101.8
"St. Francois, MO",112.4
"St. Louis, MO",91
"Saline, MO",99.7
"Schuyler, MO",95.6
"Scotland, MO",97.2
"Scott, MO",93.3
"Shannon, MO",96
"Shelby, MO",94.2
"Stoddard, MO",93.7
"Stone, MO",95.7
"Sullivan, MO",102.2
"Taney, MO",94.2
"Texas, MO",103.2
"Vernon, MO",93.7
"Warren, MO",99
"Washington, MO",106
"Wayne, MO",97.2
"Webster, MO",100.8
"Worth, MO",101.6
"Wright, MO",94.3
"St. Louis city, MO",90.3
MONTANA,100.2
"Beaverhead, MT",105.6
"Big Horn, MT",97.5
"Blaine, MT",97.9
"Broadwater, MT",103.7
"Carbon, MT",101.2
"Carter, MT",99
"Cascade, MT",97.9
"Chouteau, MT",100
"Custer, MT",97.4
"Daniels, MT",92.4
"Dawson, MT",99.7
"Deer Lodge, MT",103
"Fallon, MT",99.2
"Fergus, MT",96.3
"Flathead, MT",100
"Gallatin, MT",107.4
"Garfield, MT",111.4
"Glacier, MT",97.6
"Golden Valley, MT",108.5
"Granite, MT",104
"Hill, MT",101.6
"Jefferson, MT",100.8
"Judith Basin, MT",105.5
"Lake, MT",96.9
"Lewis and Clark, MT",98.8
"Liberty, MT",98
"Lincoln, MT",102.6
"McCone, MT",99.3
"Madison, MT",104.5
"Meagher, MT",101.5
"Mineral, MT",103.7
"Missoula, MT",100.9
"Musselshell, MT",94.5
"Park, MT",99.7
"Petroleum, MT",112.6
"Phillips, MT",101.1
"Pondera, MT",97.2
"Powder River, MT",96.9
"Powell, MT",159
"Prairie, MT",104.4
"Ravalli, MT",99.7
"Richland, MT",99.5
"Roosevelt, MT",96.6
"Rosebud, MT",99.3
"Sanders, MT",100
"Sheridan, MT",98
"Silver Bow, MT",98.9
"Stillwater, MT",107.1
"Sweet Grass, MT",105.3
"Teton, MT",95.2
"Toole, MT",114.8
"Treasure, MT",105.4
"Valley, MT",98.2
"Wheatland, MT",99
"Wibaux, MT",91.3
"Yellowstone, MT",96
"Yellowstone National Park, MT",0
NEBRASKA,98.5
"Adams, NE",97.4
"Antelope, NE",98.1
"Arthur, NE",92.6
"Banner, NE",111.4
"Blaine, NE",109.1
"Boone, NE",97.7
"Box Butte, NE",100.7
"Boyd, NE",94.4
"Brown, NE",97.9
"Buffalo, NE",96.6
"Burt, NE",95.5
"Butler, NE",105.3
"Cass, NE",98.7
"Cedar, NE",102.5
"Chase, NE",96.4
"Cherry, NE",100.5
"Cheyenne, NE",98
"Clay, NE",95.2
"Colfax, NE",111.5
"Cuming, NE",101.9
"Custer, NE",97.2
"Dakota, NE",100.1
"Dawes, NE",94.7
"Dawson, NE",104
"Deuel, NE",95.2
"Dixon, NE",99.7
"Dodge, NE",94.6
"Douglas, NE",97.5
"Dundy, NE",102.4
"Fillmore, NE",96.1
"Franklin, NE",92.9
"Frontier, NE",103.7
"Furnas, NE",91.8
"Gage, NE",96.7
"Garden, NE",95.4
"Garfield, NE",93.3
"Gosper, NE",100.4
"Grant, NE",109
"Greeley, NE",102.8
"Hall, NE",99.9
"Hamilton, NE",99.4
"Harlan, NE",98.3
"Hayes, NE",107.6
"Hitchcock, NE",94.6
"Holt, NE",96.7
"Hooker, NE",89.3
"Howard, NE",104.1
"Jefferson, NE",96.3
"Johnson, NE",129
"Kearney, NE",99.5
"Keith, NE",97.5
"Keya Paha, NE",97.1
"Kimball, NE",95
"Knox, NE",95.3
"Lancaster, NE",99.9
"Lincoln, NE",98
"Logan, NE",97.8
"Loup, NE",113.2
"McPherson, NE",105
"Madison, NE",99.7
"Merrick, NE",98.2
"Morrill, NE",99.1
"Nance, NE",106.3
"Nemaha, NE",97.2
"Nuckolls, NE",95.3
"Otoe, NE",98.7
"Pawnee, NE",94.5
"Perkins, NE",104.5
"Phelps, NE",99.2
"Pierce, NE",101.7
"Platte, NE",99.5
"Polk, NE",103
"Red Willow, NE",95.5
"Richardson, NE",94.4
"Rock, NE",96.5
"Saline, NE",102.3
"Sarpy, NE",99.2
"Saunders, NE",102.4
"Scotts Bluff, NE",92
"Seward, NE",105.6
"Sheridan, NE",97.4
"Sherman, NE",99
"Sioux, NE",113.5
"Stanton, NE",99.3
"Thayer, NE",95.6
"Thomas, NE",94.8
"Thurston, NE",97.8
"Valley, NE",91.5
"Washington, NE",101.8
"Wayne, NE",92.8
"Webster, NE",90.4
"Wheeler, NE",99.2
"York, NE",92.5
NEVADA,103.8
"Churchill, NV",97.8
"Clark, NV",103.6
"Douglas, NV",102.6
"Elko, NV",106.6
"Esmeralda, NV",110.8
"Eureka, NV",112.8
"Humboldt, NV",112.2
"Lander, NV",103.9
"Lincoln, NV",108.5
"Lyon, NV",103.8
"Mineral, NV",100.9
"Nye, NV",103.9
"Pershing, NV",163.7
"Storey, NV",107.6
"Washoe, NV",102.7
"White Pine, NV",130.7
"Carson City city, NV",107.2
NEW HAMPSHIRE,97.2
"Belknap, NH",96.4
"Carroll, NH",96.9
"Cheshire, NH",95.6
"Coos, NH",96.5
"Grafton, NH",96.9
"Hillsborough, NH",98.1
"Merrimack, NH",97.7
"Rockingham, NH",97.6
"Strafford, NH",94.5
"Sullivan, NH",97.7
NEW JERSEY,96.1
"Atlantic, NJ",94.7
"Bergen, NJ",95.2
"Burlington, NJ",98.4
"Camden, NJ",94.1
"Cape May, NJ",92.9
"Cumberland, NJ",107.1
"Essex, NJ",93.4
"Gloucester, NJ",95.2
"Hudson, NJ",98.5
"Hunterdon, NJ",100.2
"Mercer, NJ",97.3
"Middlesex, NJ",97.7
"Monmouth, NJ",96.3
"Morris, NJ",97.8
"Ocean, NJ",92.1
"Passaic, NJ",95.4
"Salem, NJ",95
"Somerset, NJ",97.9
"Sussex, NJ",99.3
"Union, NJ",95.7
"Warren, NJ",96.2
NEW MEXICO,98
"Bernalillo, NM",96.7
"Catron, NM",99.5
"Chaves, NM",98.8
"Cibola, NM",96.6
"Colfax, NM",103
"Curry, NM",98.4
"De Baca, NM",97.1
"Dona Ana, NM",98.5
"Eddy, NM",97.3
"Grant, NM",94.4
"Guadalupe, NM",134.3
"Harding, NM",105.9
"Hidalgo, NM",98.4
"Lea, NM",102.2
"Lincoln, NM",97
"Los Alamos, NM",103.7
"Luna, NM",94.4
"McKinley, NM",93.7
"Mora, NM",100.6
"Otero, NM",101
"Quay, NM",95.3
"Rio Arriba, NM",96.8
"Roosevelt, NM",97.9
"Sandoval, NM",96.5
"San Juan, NM",99.3
"San Miguel, NM",95.2
"Santa Fe, NM",98.6
"Sierra, NM",99
"Socorro, NM",102.6
"Taos, NM",97
"Torrance, NM",106.1
"Union, NM",98.9
"Valencia, NM",103.4
NEW YORK,94.6
"Albany, NY",93
"Allegany, NY",102
"Bronx, NY",88.7
"Broome, NY",94.1
"Cattaraugus, NY",96.9
"Cayuga, NY",103.2
"Chautauqua, NY",96.2
"Chemung, NY",99.1
"Chenango, NY",98.5
"Clinton, NY",104.6
"Columbia, NY",100.3
"Cortland, NY",93.7
"Delaware, NY",98.2
"Dutchess, NY",101.2
"Erie, NY",93
"Essex, NY",108.5
"Franklin, NY",121.8
"Fulton, NY",98.1
"Genesee, NY",98.4
"Greene, NY",107.6
"Hamilton, NY",98.4
"Herkimer, NY",95.7
"Jefferson, NY",104.2
"Kings, NY",89.9
"Lewis, NY",100.1
"Livingston, NY",100.3
"Madison, NY",97.7
"Monroe, NY",94.4
"Montgomery, NY",94.1
"Nassau, NY",95.1
"New York, NY",90.9
"Niagara, NY",94.4
"Oneida, NY",100
"Onondaga, NY",93.1
"Ontario, NY",97
"Orange, NY",102
"Orleans, NY",99.5
"Oswego, NY",98.2
"Otsego, NY",92.9
"Putnam, NY",102.1
"Queens, NY",94.8
"Rensselaer, NY",97.6
"Richmond, NY",95.4
"Rockland, NY",98.1
"St. Lawrence, NY",103.4
"Saratoga, NY",98
"Schenectady, NY",95.2
"Schoharie, NY",99.6
"Schuyler, NY",101.8
"Seneca, NY",107.7
"Steuben, NY",97.2
"Suffolk, NY",97.7
"Sullivan, NY",103.7
"Tioga, NY",98.6
"Tompkins, NY",99.7
"Ulster, NY",99.5
"Warren, NY",95.8
"Washington, NY",106.9
"Wayne, NY",98.7
"Westchester, NY",94.3
"Wyoming, NY",119.7
"Yates, NY",95.4
NORTH CAROLINA,95.8
"Alamance, NC",93
"Alexander, NC",103.4
"Alleghany, NC",100.3
"Anson, NC",105.8
"Ashe, NC",97.2
"Avery, NC",118
"Beaufort, NC",90.5
"Bertie, NC",94
"Bladen, NC",92.4
"Brunswick, NC",94.3
"Buncombe, NC",92.2
"Burke, NC",100.3
"Cabarrus, NC",96.6
"Caldwell, NC",97
"Camden, NC",95.6
"Carteret, NC",95
"Caswell, NC",102.5
"Catawba, NC",97.1
"Chatham, NC",96.5
"Cherokee, NC",92.4
"Chowan, NC",88.8
"Clay, NC",94
"Cleveland, NC",92
"Columbus, NC",91.4
"Craven, NC",95.4
"Cumberland, NC",93.8
"Currituck, NC",97.2
"Dare, NC",99.9
"Davidson, NC",96.2
"Davie, NC",96.8
"Duplin, NC",98.8
"Durham, NC",94.5
"Edgecombe, NC",88.4
"Forsyth, NC",92.4
"Franklin, NC",96.8
"Gaston, NC",93.8
"Gates, NC",96.5
"Graham, NC",94.7
"Granville, NC",116.3
"Greene, NC",118.6
"Guilford, NC",92.4
"Halifax, NC",90.8
"Harnett, NC",95.7
"Haywood, NC",92.4
"Henderson, NC",93.8
"Hertford, NC",94.1
"Hoke, NC",96
"Hyde, NC",126
"Iredell, NC",96.3
"Jackson, NC",95.4
"Johnston, NC",99.2
"Jones, NC",93.4
"Lee, NC",96.2
"Lenoir, NC",89.9
"Lincoln, NC",98.2
"McDowell, NC",98.8
"Macon, NC",90.9
"Madison, NC",97.2
"Martin, NC",86.4
"Mecklenburg, NC",96
"Mitchell, NC",97.9
"Montgomery, NC",102
"Moore, NC",91.9
"Nash, NC",92.2
"New Hanover, NC",93.4
"Northampton, NC",90.8
"Onslow, NC",125.1
"Orange, NC",90.6
"Pamlico, NC",101.8
"Pasquotank, NC",94.4
"Pender, NC",99.6
"Perquimans, NC",90.2
"Person, NC",93.1
"Pitt, NC",90.3
"Polk, NC",90
"Randolph, NC",97.2
"Richmond, NC",97.7
"Robeson, NC",95.3
"Rockingham, NC",93.5
"Rowan, NC",96.9
"Rutherford, NC",92.2
"Sampson, NC",98.3
"Scotland, NC",93.4
"Stanly, NC",97.7
"Stokes, NC",94.9
"Surry, NC",95.1
"Swain, NC",94.5
"Transylvania, NC",91.8
"Tyrrell, NC",129.6
"Union, NC",99
"Vance, NC",88.8
"Wake, NC",98
"Warren, NC",97
"Washington, NC",92
"Watauga, NC",99.6
"Wayne, NC",94.8
"Wilkes, NC",97.8
"Wilson, NC",92.2
"Yadkin, NC",96.9
"Yancey, NC",99.1
NORTH DAKOTA,101
"Adams, ND",91.4
"Barnes, ND",98.4
"Benson, ND",99.8
"Billings, ND",113.1
"Bottineau, ND",103.9
"Bowman, ND",95.7
"Burke, ND",103
"Burleigh, ND",96.7
"Cass, ND",102.9
"Cavalier, ND",100.1
"Dickey, ND",101.7
"Divide, ND",106.9
"Dunn, ND",104.6
"Eddy, ND",95.2
"Emmons, ND",100.5
"Foster, ND",99.6
"Golden Valley, ND",91.6
"Grand Forks, ND",104.8
"Grant, ND",103
"Griggs, ND",100
"Hettinger, ND",109.9
"Kidder, ND",105.5
"LaMoure, ND",100.7
"Logan, ND",99.6
"McHenry, ND",105.9
"McIntosh, ND",91.8
"McKenzie, ND",102.8
"McLean, ND",98.7
"Mercer, ND",102.6
"Morton, ND",101.1
"Mountrail, ND",97.5
"Nelson, ND",97.5
"Oliver, ND",111.5
"Pembina, ND",102.6
"Pierce, ND",94.5
"Ramsey, ND",99.6
"Ransom, ND",108.6
"Renville, ND",105.3
"Richland, ND",107.6
"Rolette, ND",96.2
"Sargent, ND",116.5
"Sheridan, ND",104
"Sioux, ND",103.6
"Slope, ND",117.8
"Stark, ND",97.6
"Steele, ND",108.5
"Stutsman, ND",101.2
"Towner, ND",100.5
"Traill, ND",102.8
"Walsh, ND",102.8
"Ward, ND",98
"Wells, ND",95.8
"Williams, ND",98.5
OHIO,95.3
"Adams, OH",96.5
"Allen, OH",98.6
"Ashland, OH",96.8
"Ashtabula, OH",96.7
"Athens, OH",95.2
"Auglaize, OH",96.8
"Belmont, OH",100.1
"Brown, OH",97.4
"Butler, OH",96.3
"Carroll, OH",99
"Champaign, OH",97.2
"Clark, OH",93.5
"Clermont, OH",97.3
"Clinton, OH",98.1
"Columbiana, OH",99.8
"Coshocton, OH",97.3
"Crawford, OH",93.9
"Cuyahoga, OH",90
"Darke, OH",96.8
"Defiance, OH",97.8
"Delaware, OH",99.2
"Erie, OH",95.7
"Fairfield, OH",99.6
"Fayette, OH",97.5
"Franklin, OH",95.6
"Fulton, OH",96.9
"Gallia, OH",95.1
"Geauga, OH",98.2
"Greene, OH",95
"Guernsey, OH",95.4
"Hamilton, OH",91.9
"Hancock, OH",95
"Hardin, OH",97.6
"Harrison, OH",95.1
"Henry, OH",99
"Highland, OH",95.7
"Hocking, OH",99.9
"Holmes, OH",100.1
"Huron, OH",96.7
"Jackson, OH",93.9
"Jefferson, OH",91.7
"Knox, OH",95.9
"Lake, OH",95.8
"Lawrence, OH",92.9
"Licking, OH",96
"Logan, OH",96.8
"Lorain, OH",97.3
"Lucas, OH",93.6
"Madison, OH",121.9
"Mahoning, OH",92.3
"Marion, OH",111.4
"Medina, OH",98.5
"Meigs, OH",94.9
"Mercer, OH",101.3
"Miami, OH",97.3
"Monroe, OH",97.5
"Montgomery, OH",92.5
"Morgan, OH",97.4
"Morrow, OH",100.6
"Muskingum, OH",92.1
"Noble, OH",140.1
"Ottawa, OH",98.3
"Paulding, OH",97.1
"Perry, OH",98.7
"Pickaway, OH",115.9
"Pike, OH",95
"Portage, OH",95.3
"Preble, OH",99.1
"Putnam, OH",100.1
"Richland, OH",103
"Ross, OH",111.2
"Sandusky, OH",96.7
"Scioto, OH",95.9
"Seneca, OH",99
"Shelby, OH",99.8
"Stark, OH",93.3
"Summit, OH",93.5
"Trumbull, OH",94.2
"Tuscarawas, OH",96.8
"Union, OH",91.9
"Van Wert, OH",95.6
"Vinton, OH",98
"Warren, OH",103.4
"Washington, OH",94.8
