County,SEX350209D
"Brooks, GA",92.2
"Bryan, GA",98
"Bulloch, GA",95.8
"Burke, GA",90
"Butts, GA",112.9
"Calhoun, GA",151
"Camden, GA",94
"Candler, GA",99.5
"Carroll, GA",95.8
"Catoosa, GA",93.9
"Charlton, GA",119
"Chatham, GA",91.5
"Chattahoochee, GA",172.2
"Chattooga, GA",107
"Cherokee, GA",100.3
"Clarke, GA",93.3
"Clay, GA",84.6
"Clayton, GA",94.1
"Clinch, GA",91.5
"Cobb, GA",98.6
"Coffee, GA",101.7
"Colquitt, GA",100.5
"Columbia, GA",94.9
"Cook, GA",93.6
"Coweta, GA",99.1
"Crawford, GA",99.9
"Crisp, GA",89.3
"Dade, GA",96.9
"Dawson, GA",99.2
"Decatur, GA",94.1
"DeKalb, GA",94.4
"Dodge, GA",109.5
"Dooly, GA",120.5
"Dougherty, GA",86.5
"Douglas, GA",95.8
"Early, GA",86.8
"Echols, GA",123.6
"Effingham, GA",99.6
"Elbert, GA",92.3
"Emanuel, GA",99.7
"Evans, GA",92.9
"Fannin, GA",93.2
"Fayette, GA",95.8
"Floyd, GA",95.1
"Forsyth, GA",102.8
"Franklin, GA",92.9
"Fulton, GA",97.1
"Gilmer, GA",102.4
"Glascock, GA",93.2
"Glynn, GA",93.5
"Gordon, GA",100.2
"Grady, GA",92.8
"Greene, GA",93.8
"Gwinnett, GA",101.3
"Habersham, GA",106.1
"Hall, GA",102.5
"Hancock, GA",116.3
"Haralson, GA",95.3
"Harris, GA",99
"Hart, GA",97.8
"Heard, GA",97
"Henry, GA",95.7
"Houston, GA",94.1
"Irwin, GA",103.6
"Jackson, GA",98
"Jasper, GA",95.3
"Jeff Davis, GA",98.1
"Jefferson, GA",91.6
"Jenkins, GA",93.9
"Johnson, GA",119.5
"Jones, GA",96.2
"Lamar, GA",91.7
"Lanier, GA",102.6
"Laurens, GA",92.8
"Lee, GA",101.1
"Liberty, GA",97.9
"Lincoln, GA",94.2
"Long, GA",93.7
"Lowndes, GA",97.6
"Lumpkin, GA",94.8
"McDuffie, GA",89
"McIntosh, GA",92.2
"Macon, GA",105.5
"Madison, GA",97.8
"Marion, GA",99.6
"Meriwether, GA",91.5
"Miller, GA",90.5
"Mitchell, GA",105.9
"Monroe, GA",104.3
"Montgomery, GA",104.3
"Morgan, GA",95.3
"Murray, GA",100.2
"Muscogee, GA",88.6
"Newton, GA",94.3
"Oconee, GA",97.1
"Oglethorpe, GA",94.9
"Paulding, GA",98.7
"Peach, GA",93.2
"Pickens, GA",96.5
"Pierce, GA",98.2
"Pike, GA",99
"Polk, GA",101.7
"Pulaski, GA",72.5
"Putnam, GA",95.7
"Quitman, GA",90.1
"Rabun, GA",98.9
"Randolph, GA",86.1
"Richmond, GA",89.5
"Rockdale, GA",98.8
"Schley, GA",95.4
"Screven, GA",93.6
"Seminole, GA",89.4
"Spalding, GA",94.9
"Stephens, GA",92.3
"Stewart, GA",94.1
"Sumter, GA",90.3
"Talbot, GA",88.9
